station_id,datetime,city,station_name,latitude,longitude,pm2_5,pm10,o3,no2,so2,co,pm2_5_aqi,pm10_aqi,o3_aqi,no2_aqi,so2_aqi,co_aqi,overall_aqi,overall_rating,pm2_5_rating,pm10_rating,o3_rating,no2_rating,so2_rating,co_rating
AA001,2024-01-01 21:52:01,addis_ababa,Bole Station,9.0227,38.7465,30,61,47,26,26,2,88.7,54.0,43.5,24.5,37.1,22.7,88.7,moderate,moderate,moderate,good,good,good,good
AA002,2024-01-01 11:54:51,addis_ababa,Merkato Station,9.0256,38.7469,26,43,44,25,21,1,80.3,39.8,40.7,23.6,30.0,11.4,80.3,moderate,moderate,good,good,good,good,good
AA003,2024-01-01 14:59:06,addis_ababa,Piazza Station,9.033,38.7501,26,41,42,29,21,1,80.3,38.0,38.9,27.4,30.0,11.4,80.3,moderate,moderate,good,good,good,good,good
KA001,2024-01-01 03:53:28,kampala,Central Station,0.3177,32.5825,30,44,46,18,11,1,88.7,40.7,42.6,17.0,15.7,11.4,88.7,moderate,moderate,good,good,good,good,good
KA002,2024-01-01 12:40:28,kampala,Nakawa Station,0.3376,32.6251,34,62,37,15,18,1,97.1,54.5,34.3,14.2,25.7,11.4,97.1,moderate,moderate,moderate,good,good,good,good
KA003,2024-01-01 06:08:07,kampala,Makindye Station,0.2936,32.5851,28,58,48,25,13,1,84.5,52.5,44.4,23.6,18.6,11.4,84.5,moderate,moderate,moderate,good,good,good,good
NA001,2024-01-01 02:36:46,nairobi,CBD Station,-1.2921,36.8219,27,27,51,34,18,1,82.4,25.0,47.2,32.1,25.7,11.4,82.4,moderate,moderate,good,good,good,good,good
NA002,2024-01-01 09:59:12,nairobi,Industrial Area Station,-1.3074,36.8364,24,54,52,37,11,1,76.1,50.0,48.1,34.9,15.7,11.4,76.1,moderate,moderate,good,good,good,good,good
NA003,2024-01-01 14:42:28,nairobi,Westlands Station,-1.2659,36.8015,20,45,58,30,17,1,67.8,41.7,60.8,28.3,24.3,11.4,67.8,moderate,moderate,good,moderate,good,good,good
GA001,2024-01-01 10:57:54,gaborone,Main Mall Station,-24.6589,25.9124,28,51,56,21,21,2,84.5,47.2,54.3,19.8,30.0,22.7,84.5,moderate,moderate,good,moderate,good,good,good
GA002,2024-01-01 06:05:07,gaborone,Broadhurst Station,-24.6428,25.9082,34,62,57,18,28,2,97.1,54.5,57.5,17.0,40.0,22.7,97.1,moderate,moderate,moderate,moderate,good,good,good
GA003,2024-01-01 23:40:51,gaborone,Mogoditshane Station,-24.6279,25.8541,45,59,50,18,23,1,124.5,53.0,46.3,17.0,32.9,11.4,124.5,unhealthy_sensitive,unhealthy_sensitive,moderate,good,good,good,good
KI001,2024-01-01 01:52:43,kigali,City Center Station,-1.9501,30.0588,21,52,46,29,17,1,69.8,48.1,42.6,27.4,24.3,11.4,69.8,moderate,moderate,good,good,good,good,good
KI002,2024-01-01 04:51:33,kigali,Kicukiro Station,-1.9845,30.098,38,57,40,15,18,1,107.4,52.0,37.0,14.2,25.7,11.4,107.4,unhealthy_sensitive,unhealthy_sensitive,moderate,good,good,good,good
KI003,2024-01-01 18:25:02,kigali,Gikondo Station,-1.9739,30.0826,24,50,40,22,21,1,76.1,46.3,37.0,20.8,30.0,11.4,76.1,moderate,moderate,good,good,good,good,good
AA001,2024-01-02 09:34:06,addis_ababa,Bole Station,9.0227,38.7465,26,24,46,28,17,2,80.3,22.2,42.6,26.4,24.3,22.7,80.3,moderate,moderate,good,good,good,good,good
AA002,2024-01-02 08:40:34,addis_ababa,Merkato Station,9.0256,38.7469,27,57,37,26,21,2,82.4,52.0,34.3,24.5,30.0,22.7,82.4,moderate,moderate,moderate,good,good,good,good
AA003,2024-01-02 02:47:24,addis_ababa,Piazza Station,9.033,38.7501,26,48,52,25,22,2,80.3,44.4,48.1,23.6,31.4,22.7,80.3,moderate,moderate,good,good,good,good,good
KA001,2024-01-02 00:13:20,kampala,Central Station,0.3177,32.5825,28,35,42,23,15,1,84.5,32.4,38.9,21.7,21.4,11.4,84.5,moderate,moderate,good,good,good,good,good
KA002,2024-01-02 21:54:21,kampala,Nakawa Station,0.3376,32.6251,35,41,32,23,16,4,99.2,38.0,29.6,21.7,22.9,45.5,99.2,moderate,moderate,good,good,good,good,good
KA003,2024-01-02 14:32:04,kampala,Makindye Station,0.2936,32.5851,28,50,40,22,14,3,84.5,46.3,37.0,20.8,20.0,34.1,84.5,moderate,moderate,good,good,good,good,good
NA001,2024-01-02 04:23:28,nairobi,CBD Station,-1.2921,36.8219,29,43,39,29,19,1,86.6,39.8,36.1,27.4,27.1,11.4,86.6,moderate,moderate,good,good,good,good,good
NA002,2024-01-02 09:30:53,nairobi,Industrial Area Station,-1.3074,36.8364,19,46,56,28,15,1,65.7,42.6,54.3,26.4,21.4,11.4,65.7,moderate,moderate,good,moderate,good,good,good
NA003,2024-01-02 00:08:42,nairobi,Westlands Station,-1.2659,36.8015,18,43,52,26,19,1,63.6,39.8,48.1,24.5,27.1,11.4,63.6,moderate,moderate,good,good,good,good,good
GA001,2024-01-02 07:45:15,gaborone,Main Mall Station,-24.6589,25.9124,32,47,60,16,21,2,92.9,43.5,67.3,15.1,30.0,22.7,92.9,moderate,moderate,good,moderate,good,good,good
GA002,2024-01-02 16:51:41,gaborone,Broadhurst Station,-24.6428,25.9082,24,71,43,25,23,1,76.1,58.9,39.8,23.6,32.9,11.4,76.1,moderate,moderate,moderate,good,good,good,good
GA003,2024-01-02 03:05:44,gaborone,Mogoditshane Station,-24.6279,25.8541,33,61,68,24,28,1,95.0,54.0,93.5,22.6,40.0,11.4,95.0,moderate,moderate,moderate,moderate,good,good,good
KI001,2024-01-02 20:22:08,kigali,City Center Station,-1.9501,30.0588,23,51,33,9,13,1,74.0,47.2,30.6,8.5,18.6,11.4,74.0,moderate,moderate,good,good,good,good,good
KI002,2024-01-02 04:21:28,kigali,Kicukiro Station,-1.9845,30.098,21,47,45,21,23,1,69.8,43.5,41.7,19.8,32.9,11.4,69.8,moderate,moderate,good,good,good,good,good
KI003,2024-01-02 06:35:32,kigali,Gikondo Station,-1.9739,30.0826,24,37,40,25,15,1,76.1,34.3,37.0,23.6,21.4,11.4,76.1,moderate,moderate,good,good,good,good,good
AA001,2024-01-03 15:54:01,addis_ababa,Bole Station,9.0227,38.7465,24,51,66,26,23,3,76.1,47.2,86.9,24.5,32.9,34.1,86.9,moderate,moderate,good,moderate,good,good,good
AA002,2024-01-03 18:42:36,addis_ababa,Merkato Station,9.0256,38.7469,26,42,29,28,16,3,80.3,38.9,26.9,26.4,22.9,34.1,80.3,moderate,moderate,good,good,good,good,good
AA003,2024-01-03 18:49:34,addis_ababa,Piazza Station,9.033,38.7501,28,55,42,22,19,1,84.5,51.0,38.9,20.8,27.1,11.4,84.5,moderate,moderate,moderate,good,good,good,good
KA001,2024-01-03 17:44:10,kampala,Central Station,0.3177,32.5825,39,44,34,17,21,2,109.8,40.7,31.5,16.0,30.0,22.7,109.8,unhealthy_sensitive,unhealthy_sensitive,good,good,good,good,good
KA002,2024-01-03 16:34:47,kampala,Nakawa Station,0.3376,32.6251,36,59,38,19,18,2,102.5,53.0,35.2,17.9,25.7,22.7,102.5,unhealthy_sensitive,unhealthy_sensitive,moderate,good,good,good,good
KA003,2024-01-03 22:24:34,kampala,Makindye Station,0.2936,32.5851,30,34,38,23,16,1,88.7,31.5,35.2,21.7,22.9,11.4,88.7,moderate,moderate,good,good,good,good,good
NA001,2024-01-03 19:18:57,nairobi,CBD Station,-1.2921,36.8219,30,44,58,31,20,1,88.7,40.7,60.8,29.2,28.6,11.4,88.7,moderate,moderate,good,moderate,good,good,good
NA002,2024-01-03 06:44:52,nairobi,Industrial Area Station,-1.3074,36.8364,13,38,59,26,21,1,53.1,35.2,64.1,24.5,30.0,11.4,64.1,moderate,moderate,good,moderate,good,good,good
NA003,2024-01-03 11:08:09,nairobi,Westlands Station,-1.2659,36.8015,22,35,56,29,15,1,71.9,32.4,54.3,27.4,21.4,11.4,71.9,moderate,moderate,good,moderate,good,good,good
GA001,2024-01-03 07:47:44,gaborone,Main Mall Station,-24.6589,25.9124,36,74,56,18,22,2,102.5,60.4,54.3,17.0,31.4,22.7,102.5,unhealthy_sensitive,unhealthy_sensitive,moderate,moderate,good,good,good
GA002,2024-01-03 06:02:44,gaborone,Broadhurst Station,-24.6428,25.9082,31,57,56,27,27,1,90.8,52.0,54.3,25.5,38.6,11.4,90.8,moderate,moderate,moderate,moderate,good,good,good
GA003,2024-01-03 16:24:55,gaborone,Mogoditshane Station,-24.6279,25.8541,28,54,58,23,24,1,84.5,50.0,60.8,21.7,34.3,11.4,84.5,moderate,moderate,good,moderate,good,good,good
KI001,2024-01-03 14:40:48,kigali,City Center Station,-1.9501,30.0588,18,52,41,19,14,1,63.6,48.1,38.0,17.9,20.0,11.4,63.6,moderate,moderate,good,good,good,good,good
KI002,2024-01-03 07:57:27,kigali,Kicukiro Station,-1.9845,30.098,40,44,49,19,23,1,112.3,40.7,45.4,17.9,32.9,11.4,112.3,unhealthy_sensitive,unhealthy_sensitive,good,good,good,good,good
KI003,2024-01-03 16:08:32,kigali,Gikondo Station,-1.9739,30.0826,22,45,39,13,15,1,71.9,41.7,36.1,12.3,21.4,11.4,71.9,moderate,moderate,good,good,good,good,good
AA001,2024-01-04 04:54:55,addis_ababa,Bole Station,9.0227,38.7465,22,43,56,19,21,2,71.9,39.8,54.3,17.9,30.0,22.7,71.9,moderate,moderate,good,moderate,good,good,good
